NID,Title,URL,Organization,Product,Issue,"What you should do",Category,"Recall class","Last updated",Archived
82481,"Zhou Hei Ya brand Wide Vermicelli with Sesame Sauce recalled due to undeclared shrimp",https://recalls-rappels.canada.ca/en/alert-recall/zhou-hei-ya-brand-wide-vermicelli-sesame-sauce-recalled-due-undeclared-shrimp,CFIA,"Wide Vermicelli with Sesame Sauce","Crustacean and shellfish","Check to see if you have recalled productsDo not consume recalled products to which you are allergic or sensitive as they may cause a serious or life-threatening reactionDo not serve, use, sell or distribute recalled productsRecalled products should be thrown out or returned to the location where they were purchasedLearn more:Learn more about common food allergiesSign up for recall notifications by email and follow us on social mediaView our detailed explanation of the food safety investigation and recall processReport a food safety or labelling concern",Other,"Class 2",2026-08-13,0
82483,"Aqua Gems brand Tempura Shrimp recalled due to undeclared egg",https://recalls-rappels.canada.ca/en/alert-recall/aqua-gems-brand-tempura-shrimp-recalled-due-undeclared-egg,CFIA,"Tempura Shrimp",Egg,,Processed,"Class 2",2026-08-13,0
82484,"Unauthorized injectable health products sold online and seized from Dyosa Beauty & Wellness Lounge in Hamilton, ON, may pose serious health risks",https://recalls-rappels.canada.ca/en/alert-recall/unauthorized-injectable-health-products-sold-online-and-seized-dyosa-beauty-wellness,"Communications and Public Affairs Branch","Various unauthorized—including counterfeit—injectable health products","Unauthorized product","Do not buy or use unauthorized health products.Consult with a licensed healthcare professional (physician, nurse practitioner, pharmacist) if you think you may have been administered these products at Dyosa Beauty &amp; Wellness Lounge, or at any other location, and have health concerns.When receiving injectable treatments, ask your healthcare professional to show you the product label and verify that the product has been authorized by Health Canada. Authorized health products have an eight-digit Drug Identification Number (DIN), Natural Product Number (NPN) or Homeopathic Drug Number (DIN-HM). You can also check whether products are authorized for sale by searching Health Canada's Drug Product Database or Licensed Natural Health Products Database.Report any health product-related side effects or complaints, including suspected counterfeits, to Health Canada. You can also contact the manufacturer directly to confirm a product's authenticity.","Drugs - Medical devices",,2026-08-13,0
82485,"Portrait Core Services Cssxb",https://recalls-rappels.canada.ca/en/alert-recall/portrait-core-services-cssxb,"Medical devices","Portrait Core Services Cssxb",Performance,,Cardiovascular,"Type II",2026-08-13,0
82426,"Portable Clip-On Rechargeable Mini Fan recalled due to fire hazard ",https://recalls-rappels.canada.ca/en/alert-recall/portable-clip-rechargeable-mini-fan-recalled-due-fire-hazard,"Consumer product safety","Portable Clip-On Rechargeable Mini Fan","Fire hazard","Consumers should immediately stop using the recalled product and return it to CTG Brands Inc. for a refund.For more information, consumers can contact CTG Brands Inc. by telephone at 1-888-781-8882, 8:30 a.m. to 5:00 p.m. EST, Monday to Friday, or visit the company website.Please note that the Canada Consumer Product Safety Act prohibits recalled products from being redistributed, sold or even given away in Canada.Health Canada would like to remind consumers to report any health or safety incidents related to the use of this product or any other consumer product or cosmetic by filling out the&nbsp;Consumer Product Incident Report Form.This recall is also posted on the&nbsp;OECD Global Portal on Product Recalls website. You can visit this site for more information on other international consumer product recalls.","Household items",,2026-08-12,0
82459,"Adequan I.M: Presence of particulate matter",https://recalls-rappels.canada.ca/en/alert-recall/adequan-im-presence-particulate-matter,"Drugs and health products","Adequan I.M","Product quality","Verify if your product is affected.Consult your healthcare provider prior to discontinuing use of the affected product, or for any health concerns.Contact the recalling firm if you have any questions about the recall.Report any health product&nbsp;related&nbsp;side effects&nbsp;to Health Canada.Report any other health product safety&nbsp;complaints&nbsp;to&nbsp;Health Canada.","Veterinary drugs","Type III",2026-08-12,0
82473,"The Greek Gods brand Greek Style Honey Yogurt and Organic Plain Yogurt recalled due to mould",https://recalls-rappels.canada.ca/en/alert-recall/greek-gods-brand-greek-style-honey-yogurt-and-organic-plain-yogurt-recalled-due-mould,CFIA,"Naturally Flavoured Honey Greek Style Yogurt and Organic Plain Greek Style Yogurt","Non harmful (quality or spoilage)",,Dairy,"Class 3",2026-08-12,0
82478,"Alfa brand croissant products recalled due to mould",https://recalls-rappels.canada.ca/en/alert-recall/alfa-brand-croissant-products-recalled-due-mould,CFIA,"Croissant products","Non harmful (quality or spoilage)",,"Grain products","Class 3",2026-08-12,0
82479,"pms-IRBESARTAN: Affected lot may contain pms-IRBESARTAN/HCTZ 150/12.5 mg tablets.",https://recalls-rappels.canada.ca/en/alert-recall/pms-irbesartan-affected-lot-may-contain-pms-irbesartanhctz-150125-mg-tablets,"Drugs and health products","pms-IRBESARTAN 150 mg Tablet",Contamination,"Verify whether your product is affected.Consult your healthcare provider prior to discontinuing use of the affected product, or if you have any health concerns.Contact the recalling firm if you have any questions about the recall.Report any health product&nbsp;related&nbsp;side effects&nbsp;to Health Canada.Report any other health product safety&nbsp;complaints&nbsp;to&nbsp;Health Canada.",Drugs,"Type II",2026-08-12,0
82277,"Omni-Tract Surgical Retractor System",https://recalls-rappels.canada.ca/en/alert-recall/omni-tract-surgical-retractor-system,"Medical devices","Omni-Tract Surgical Retractor System",Sterility,,"General and plastic surgery","Type II",2026-08-11,0
82477,"Semaglutide Injection: Incorrect Pen in Package",https://recalls-rappels.canada.ca/en/alert-recall/semaglutide-injection-incorrect-pen-package,"Drugs and health products","Semaglutide Injection",Packaging,"Verify if your product is affected.Consult your healthcare provider prior to discontinuing use of the affected product, or for any health concerns.Contact the recalling firm if you have any questions about the recall.Report any health product&nbsp;related&nbsp;side effects&nbsp;to Health Canada.Report any other health product safety&nbsp;complaints&nbsp;to&nbsp;Health Canada.",Drugs,"Type II",2026-08-11,0
82452,"Corded zebra window covering / zebra blind recalled due to strangulation hazard and choking hazards",https://recalls-rappels.canada.ca/en/alert-recall/corded-zebra-window-covering-zebra-blind-recalled-due-strangulation-hazard-and-choking,"Consumer product safety","Rideaux Rêvés Décor - Corded zebra window covering / zebra blind ","Strangulation hazard - Choking hazard","Consumers should immediately stop using the recalled product and contact Rideaux Rêvés Décor to arrange for the corrective action.For more information, consumers can contact Rideaux Rêvés Décor by telephone at 514-431-6668, Monday to Friday 9:00 am to 6:00 pm ET and Saturday 10:00 am to 6:00 pm ET, by email at&nbsp;sales@rideauxreves.com or visit the company website.Please note that the Canada Consumer Product Safety Act prohibits recalled products from being redistributed, sold or even given away in Canada.Health Canada would like to remind consumers to report any health or safety incidents related to the use of this product or any other consumer product or cosmetic by filling out the&nbsp;Consumer Product Incident Report Form.This recall is also posted on the&nbsp;OECD Global Portal on Product Recalls website. You can visit this site for more information on other international consumer product recalls.","Household items",,2026-08-10,0
82463,"PC Organics brand and Frankie's Organic brand Plant-based cheddar corn puffs and crunchies recalled due to undeclared milk",https://recalls-rappels.canada.ca/en/alert-recall/pc-organics-brand-and-frankie-s-organic-brand-plant-based-cheddar-corn-puffs-and,CFIA,"Plant-based cheddar corn puffs and crunchies",Milk,"Check to see if you have recalled productsDo not consume recalled products to which you are allergic or sensitive as they may cause a serious or life-threatening reactionDo not serve, use, sell or distribute recalled productsRecalled products should be thrown out or returned to the location where they were purchasedLearn more:Learn more about common food allergiesSign up for recall notifications by email and follow us on social mediaView our detailed explanation of the food safety investigation and recall processReport a food safety or labelling concern","Candy, confectionary, snacks and sweeteners","Class 1",2026-08-08,0
82460,"Bravo - Capsule Delivery System",https://recalls-rappels.canada.ca/en/alert-recall/bravo-capsule-delivery-system,"Medical devices","Bravo - Capsule Delivery System",Performance,,"Gastroenterology and urology","Type I",2026-08-07,0
82461,"TEVA-ECTOSONE 0.1% Cream; Affected lot may be missing lot number and expiry date",https://recalls-rappels.canada.ca/en/alert-recall/teva-ectosone-01-cream-affected-lot-may-be-missing-lot-number-and-expiry-date,"Drugs and health products","TEVA-ECTOSONE 0.1% Cream",Labelling,"Verify if your product is affected. If the lot number and expiry date are missing, your product may be affected by this recall.Consult your healthcare provider prior to discontinuing use of the affected product(s), or for any health concerns.Contact the recalling firm if you have any questions about the recall.Report any health product&nbsp;related&nbsp;side effects&nbsp;to Health Canada.Report any other health product safety&nbsp;complaints&nbsp;to&nbsp;Health Canada.",Drugs,"Type II",2026-08-07,0
82462,"Momchipz brand Veggie Chips (Broccoli Florets & Cauliflower) recalled due to undeclared gluten",https://recalls-rappels.canada.ca/en/alert-recall/momchipz-brand-veggie-chips-broccoli-florets-cauliflower-recalled-due-undeclared,CFIA,"Veggie Chips (Broccoli Florets & Cauliflower) ",Gluten,"Check to see if you have recalled productsIf you have celiac disease or other gluten-related disorders, do not consume the recalled product as it may cause a serious or life-threatening reactionDo not serve, use, sell or distribute recalled productsRecalled products should be thrown out or returned to the location where they were purchasedLearn more:Learn more about common food allergiesSign up for recall notifications by email and follow us on social mediaView our detailed explanation of the food safety investigation and recall processReport a food safety or labelling concern","Candy, confectionary, snacks and sweeteners","Class 2",2026-08-07,0
82471,"Transport Canada Recall - 2026294 - POLARIS",https://recalls-rappels.canada.ca/en/alert-recall/transport-canada-recall-2026294-polaris,TC,"Three Wheeled Vehicle recalled by POLARIS","Seats And Restraints",,"Three wheeled vehicle",,2026-08-07,0
77680,"Transport Canada Recall - 2025314 - RIVIAN",https://recalls-rappels.canada.ca/en/alert-recall/transport-canada-recall-2025314-rivian,TC,"Light Truck & Van recalled by RIVIAN","Lights And Instruments",,"Light Truck & Van - SUV",,2026-08-06,0
82408,"Apeks Scuba Regulators recalled due to risk of  inaccurate air supply causing a drowning hazard",https://recalls-rappels.canada.ca/en/alert-recall/apeks-scuba-regulators-recalled-due-risk-inaccurate-air-supply-causing-drowning-hazard,"Consumer product safety","Apeks Scuba Regulators","Drowning hazard","Consumers should immediately stop using the recalled regulators and contact an authorized HEAD Watersports retailer for a free repair.&nbsp;For more information, consumers can contact Head Watersports (Aqualung, Apeks, Mares) by telephone at 1-800-874-3236 from 9:00 a.m to 5:00 p.m. ET, Monday through Friday, email at&nbsp;recallxl4@aqualung.com or online at&nbsp; https://us.apeksdiving.com/pages/recall-information-and-technical-notice,&nbsp;https://us.aqualung.com/pages/recall-information, or&nbsp;https://www.head.com/en_US/recalls.&nbsp;&nbsp;Joint recall with Health Canada, the United States Consumer Product Safety Commission (US CPSC) and HEAD Watersports.Please note that the Canada Consumer Product Safety Act prohibits recalled products from being redistributed, sold or even given away in Canada.Health Canada would like to remind consumers to report any health or safety incidents related to the use of this product or any other consumer product or cosmetic by filling out the&nbsp;Consumer Product Incident Report Form.This recall is also posted on the&nbsp;OECD Global Portal on Product Recalls website. You can visit this site for more information on other international consumer product recalls.","Sports and fitness",,2026-08-06,0
82415,"​​DR Power PRO MAX30 30” Deck Wide Cut Walk-Behind Power Lawn Mowers​ recalled due to laceration hazard  ",https://recalls-rappels.canada.ca/en/alert-recall/dr-power-pro-max30-30-deck-wide-cut-walk-behind-power-lawn-mowers-recalled-due,"Consumer product safety","DR Power PRO MAX30 30"" Deck Wide Cut Walk-Behind Power Lawn Mower","Laceration hazard","Consumers should immediately stop using the recalled product and contact DR Power for a repair kit and instructions or schedule a free repair from an authorized dealer.&nbsp;For more information, consumers can contact&nbsp;DR Power Equipment toll-free at&nbsp;1-800-854-3502&nbsp;from 8:30 a.m. to 5 p.m. ET, Monday through Friday, email at&nbsp;recall@drpower.com, or online at&nbsp;http://www.drpower.com/recalls or&nbsp;https://www.drpower.com/&nbsp;and click on “Product Recalls” at the bottom of the page for more information.Joint recall with Health Canada, the United States Consumer Product Safety Commission (US CPSC) and Generac Power Systems Inc.Please note that the Canada Consumer Product Safety Act prohibits recalled products from being redistributed, sold or even given away in Canada.Health Canada would like to remind consumers to report any health or safety incidents related to the use of this product or any other consumer product or cosmetic by filling out the&nbsp;Consumer Product Incident Report Form.This recall is also posted on the&nbsp;OECD Global Portal on Product Recalls website. You can visit this site for more information on other international consumer product recalls.","Tools and accessories",,2026-08-06,0
82422,"Transport Canada Recall - 2026298 - POLARIS",https://recalls-rappels.canada.ca/en/alert-recall/transport-canada-recall-2026298-polaris,TC,"Three Wheeled Vehicle recalled by POLARIS",Structure,,"Three wheeled vehicle - Motorcycle",,2026-08-06,0
82428,"CCM Hybrid Visor and Replacement Visor accessory recalled due to impact hazard ",https://recalls-rappels.canada.ca/en/alert-recall/ccm-hybrid-visor-and-replacement-visor-accessory-recalled-due-impact-hazard,"Consumer product safety","Product: CCM Hybrid Visor (Style FMVHR) and Replacement Visor accessory (Style ACCHVR)","Impact hazard","Consumers should immediately stop using the recalled product and contact Sport Maska Inc. (CCM) to receive a replacement full-face protector.&nbsp;For more information, consumers can contact&nbsp;Sport Maska Inc. (CCM) by telephone at 1-800-644-1677, Monday through Friday, 8am – 6pm ET, by email at customerservice@ccmhockey.com or visit www.ccmhockey.com.Please note that the Canada Consumer Product Safety Act prohibits recalled products from being redistributed, sold or even given away in Canada.Health Canada would like to remind consumers to report any health or safety incidents related to the use of this product or any other consumer product or cosmetic by filling out the&nbsp;Consumer Product Incident Report Form.This recall is also posted on the&nbsp;OECD Global Portal on Product Recalls website. You can visit this site for more information on other international consumer product recalls.","Sports and fitness",,2026-08-06,0
82443,"Beckman Coulter AU Immunochemistry System - AU480 Analyzer",https://recalls-rappels.canada.ca/en/alert-recall/beckman-coulter-au-immunochemistry-system-au480-analyzer,"Medical devices","Beckman Coulter AU Immunochemistry System - AU480 Analyzer",Performance,,Chemistry,"Type II",2026-08-06,0
82444,"HEALON EndoCoat PRO",https://recalls-rappels.canada.ca/en/alert-recall/healon-endocoat-pro,"Medical devices","HEALON EndoCoat PRO",Performance,,Ophthalmology,"Type II",2026-08-06,0
82445,"Louisville and Featherlite brand Attic Stairways recalled due to injury hazard  ",https://recalls-rappels.canada.ca/en/alert-recall/louisville-and-featherlite-brand-attic-stairways-recalled-due-injury-hazard,"Consumer product safety","Louisville and Featherlite brand Attic Stairways with gas struts ","Injury hazard","Consumers should&nbsp;immediately stop using the recalled product and contact&nbsp;Louisville Ladder Corp. to obtain a free repair kit. Consumers with the affected units will receive a free repair kit containing two replacement ¼ inch spreader bolts, washers, and lock nuts with installation instructions.&nbsp;For more information, consumers can contact Louisville Ladder Corp. by telephone at 1-888-679-5132, from&nbsp; 8:00&nbsp;A.M. to&nbsp; 5:00 P.M. ET Monday through Friday, by email at&nbsp;LouisvilleLadders8144@sedgwick.com or at Atticstairwayrecall.expertinquiry.com or&nbsp;www.louisvilleladder.com and click on “Product Recalls” for more information.Joint recall with Health Canada, the United States Consumer Product Safety Commission (US CPSC) and Louisville Ladder Corp.Please note that the Canada Consumer Product Safety Act prohibits recalled products from being redistributed, sold or even given away in Canada.Health Canada would like to remind consumers to report any health or safety incidents related to the use of this product or any other consumer product or cosmetic by filling out the&nbsp;Consumer Product Incident Report Form.This recall is also posted on the&nbsp;OECD Global Portal on Product Recalls website. You can visit this site for more information on other international consumer product recalls.","Household items",,2026-08-06,0
82447,"Kehar brand Californian Pistachio Kernel recalled due to Salmonella",https://recalls-rappels.canada.ca/en/alert-recall/kehar-brand-californian-pistachio-kernel-recalled-due-salmonella,CFIA,"Californian Pistachio Kernel",Salmonella,"If you think you became sick from consuming a recalled product, contact your healthcare providerCheck to see if you have recalled productsDo not consume, serve, use, sell, or distribute recalled productsRecalled products should be thrown out or returned to the location where they were purchasedFood contaminated with&nbsp;Salmonella may not look or smell spoiled but can still make you sick. Young children, pregnant women, the elderly and people with weakened immune systems may contract serious and sometimes deadly infections. Healthy people may experience short-term symptoms such as fever, headache, vomiting, nausea, abdominal cramps and diarrhea. Long-term complications may include severe arthritis.Learn more:Learn more about the health risksSign up for recall notifications by email and follow us on social mediaView our detailed explanation of the food safety investigation and recall processReport a food safety or labelling concern","Nuts, grains, and seeds","Class 2",2026-08-06,0
82453,"Compliments brand Smashed 100% Chicken Burgers recalled due to undeclared egg",https://recalls-rappels.canada.ca/en/alert-recall/compliments-brand-smashed-100-chicken-burgers-recalled-due-undeclared-egg,CFIA,"Smashed 100% Chicken Burgers",Egg,,"Meat and poultry","Class 2",2026-08-06,0
82454,"One lot of New Roots Herbal Probiotic Intensity recalled due to incorrect “No Dairy” claim",https://recalls-rappels.canada.ca/en/alert-recall/one-lot-new-roots-herbal-probiotic-intensity-recalled-due-incorrect-no-dairy-claim,"Communications and Public Affairs Branch","New Roots Herbal Probiotic Intensity","Product safety","Do not use the affected product if you have a dairy allergy.Consult a health care professional if you have used this product and have health concerns.If you have questions about this recall, contact New Roots Herbal Inc. by calling toll-free at 1-800-268-9486, or by email at support@newrootsherbal.com.Report any health product-related side effects or complaints to Health Canada.","Natural health products","Type I",2026-08-06,0
82464,"Transport Canada Recall - 2026278 - BENTLEY",https://recalls-rappels.canada.ca/en/alert-recall/transport-canada-recall-2026278-bentley,TC,"Car recalled by BENTLEY",Label,,"SUV - Car",,2026-08-06,0
82465,"Transport Canada Recall - 2026290 - MASERATI",https://recalls-rappels.canada.ca/en/alert-recall/transport-canada-recall-2026290-maserati,TC,"Car recalled by MASERATI",Label,,Car,,2026-08-06,0
82466,"Transport Canada Recall - 2026368 - FORD",https://recalls-rappels.canada.ca/en/alert-recall/transport-canada-recall-2026368-ford,TC,"SUV recalled by FORD",Structure,,SUV,,2026-08-06,0
82467,"Transport Canada Recall - 2026369 - FORD",https://recalls-rappels.canada.ca/en/alert-recall/transport-canada-recall-2026369-ford,TC,"Light Truck & Van recalled by FORD","Visual System",,"Light Truck & Van",,2026-08-06,0
82468,"Transport Canada Recall - 2026372 - WINNEBAGO INDUSTRIES",https://recalls-rappels.canada.ca/en/alert-recall/transport-canada-recall-2026372-winnebago-industries,TC,"Motorhome recalled by WINNEBAGO INDUSTRIES",Electrical,,Motorhome,,2026-08-06,0
82469,"Transport Canada Recall - 2026373 - GENERAL MOTORS",https://recalls-rappels.canada.ca/en/alert-recall/transport-canada-recall-2026373-general-motors,TC,"Light Truck & Van recalled by GENERAL MOTORS","High Voltage",,"Light Truck & Van",,2026-08-06,0
